RA,DEC
348.419,-47.3365
312.126,-53.8492
55.2691,-50.2791
339.607,-0.146989
312.481,-56.7805
10.6226,-53.8147
15.7774,-58.2523
62.5727,-45.2866
31.0891,-57.7207
23.6077,-44.4413
91.5890,-55.1992
2.37787,-55.1001
92.8276,-61.4965
358.899,-48.0136
328.556,0.155596
87.8468,-50.6848
342.242,-0.513772
45.1142,-49.0914
84.7439,-46.1537
7.30522,-55.2863
0.951134,-0.906608
344.939,0.665982
14.3146,-41.3005
42.0485,-56.7282
36.7924,-54.6399
28.1329,-47.3516
33.2069,-59.9191
347.070,-55.5715
42.9363,-48.8722
61.1019,-49.9244
26.3703,-46.9135
58.7382,-64.3373
342.217,-54.0583
61.7645,-43.2107
92.9519,-52.7014
87.8807,-42.0367
92.2195,-47.2901
19.4886,-59.3219
92.1151,-48.5371
347.888,-1.59189
68.2225,-65.2783
327.869,-50.7592
343.789,-57.4557
28.5494,-49.5978
34.1457,-56.2076
79.4813,-40.4232
30.2083,-53.1386
90.2020,-43.1075
75.7679,-59.7787
359.742,-43.9345
340.042,-42.3703
9.08440,-42.4656
30.0753,-48.9613
333.243,-56.9218
45.8526,-55.5236
27.4286,-48.6202
67.7699,-65.9055
0.978165,-44.7049
55.0124,-48.0502
76.9263,-60.7978
32.4054,-57.0231
326.382,-56.5179
86.5427,-48.6827
352.087,0.687409
48.9567,-45.0898
84.2046,-60.7488
68.9489,-47.7781
51.2637,-46.9984
3.68462,-50.4137
10.0522,-53.1083
53.0684,-59.8418
59.2177,-41.9721
66.2610,-62.9407
342.160,-44.4803
304.463,-56.9209
50.1845,-42.3525
76.7443,-53.3428
79.6584,-49.9509
304.454,-52.1569
15.8485,-52.7793
45.1591,-46.7986
60.1832,-58.9874
305.303,-55.7204
302.362,-54.8632
315.415,-51.4210
47.7656,-56.4883
60.2190,-40.5147
324.237,-0.309855
39.2950,-45.0545
47.5890,-54.5166
42.5724,-53.7303
312.358,-58.7433
3.53307,-54.7976
356.517,1.72018
25.5765,-58.9539
324.901,-50.4545
311.840,-57.0195
78.1605,-45.7673
44.7310,-49.1220
57.6920,-43.5518
86.4792,-57.7667
81.7004,-50.5635
70.0745,-56.8422
66.4828,-53.3149
327.256,-52.4752
90.9080,-42.4533
357.006,0.797771
336.173,1.18343
14.4176,-55.3910
354.886,-52.1536
